Unnamed: 0,ID,name,href,docket,term,first_party,second_party,facts,facts_len,majority_vote,minority_vote,first_party_winner,decision_type,disposition,issue_area,api_question,api_conclusion
0,50606,Roe v. Wade,https://api.oyez.org/cases/1971/70-18,70-18,1971,Jane Roe,Henry Wade,"In 1970, Jane Roe (a fictional name used in court documents to protect the plaintiff’s identity) filed a lawsuit against Henry Wade, the district attorney of Dallas County, Texas, where she resided, challenging a Texas law making abortion illegal except by a doctor’s orders to save a woman’s life. In her lawsuit, Roe alleged that the state laws were unconstitutionally vague and abridged her right of personal privacy, protected by the First, Fourth, Fifth, Ninth, and Fourteenth Amendments.
",501,7,2,True,majority opinion,reversed,,Does the Constitution recognize a woman's right to terminate her pregnancy by abortion?,"Inherent in the Due Process Clause of the Fourteenth Amendment is a fundamental “right to privacy” that protects a pregnant woman’s choice whether to have an abortion. However, this right is balanced against the government’s interests in protecting women's health and protecting “the potentiality of human life.” The Texas law challenged in this case violated this right.Justice Harry Blackmun delivered the opinion for the 7-2 majority of the Court.First, the Court considered whether the case was moot, concluding that it was not. When the subject of litigation is “capable of repetition yet evading review,” a case need not be dismissed as moot. Pregnancy is a “classic justification for a conclusion of nonmootness.”The Due Process Clause of the Fourteenth Amendment protects against state action the right to privacy, and a woman’s right to choose to have an abortion falls within that right to privacy. A state law that broadly prohibits abortion without respect to the stage of pregnancy or other interests violates that right. Although the state has legitimate interests in protecting the health of pregnant women and the “potentiality of human life,” the relative weight of each of these interests varies over the course of pregnancy, and the law must account for this variability.In the first trimester of pregnancy, the state may not regulate the abortion decision; only the pregnant woman and her attending physician can make that decision. In the second trimester, the state may impose regulations on abortion that are reasonably related to maternal health. In the third trimester, once the fetus reaches the point of “viability,” a state may regulate abortions or prohibit them entirely, so long as the laws contain exceptions for cases when abortion is necessary to save the life or health of the mother."
1,50613,Stanley v. Illinois,https://api.oyez.org/cases/1971/70-5014,70-5014,1971,"Peter Stanley, Sr. ",Illinois,"Joan Stanley had three children with Peter Stanley.  The Stanleys never married, but lived together off and on for 18 years.  When Joan died, the State of Illinois took the children.  Under Illinois law, unwed fathers were presumed unfit parents regardless of their actual fitness and their children became wards of the state.  Peter appealed the decision, arguing that the Illinois law violated the Equal Protection Clause of the Fourteenth Amendment because unwed mothers were not deprived of their children without a showing that they were actually unfit parents.  The Illinois Supreme Court rejected Stanley’s Equal Protection claim, holding that his actual fitness as a parent was irrelevant because he and the children’s mother were unmarried.
",757,5,2,True,majority opinion,reversed/remanded,Civil Rights,Does the Illinois statutory scheme that assumes unwed fathers are unfit parents violate the Equal Protection Clause?,"Yes.  Justice Byron R. White, writing for a 5-2 majority, reversed and remanded.  The Supreme Court held that it could consider the constitutionality of the Illinois law even though Peter might have regained custody of his children through adoption or guardianship proceedings.  The Illinois law violated the Due Process clause because an unwed father was stripped of his parental rights without a hearing.  Justice William O. Douglas joined in this part of the opinion.  A four justice plurality went on to write that the Illinois law also violated the Equal Protection Clause because it denied a fitness hearing to certain parents, while granting one to others.Chief Justice Warren E. Burger dissented, arguing that the majority exceeded its authority by raising the Due Process issue when the lower court had not.  The Equal Protection question was the only one properly before the court, and it was not violated because the state was merely recognizing the legal relationships of fathers whether through marriage or adoption.  Justice Harry A. Blackmun joined in the dissent.  Justice Lewis F. Powell and Justice William H. Rehnquist did not participate."
2,50623,Giglio v. United States,https://api.oyez.org/cases/1971/70-29,70-29,1971,John Giglio ,United States,"John Giglio was convicted of passing forged money orders.  While his appeal to the U.S. Court of Appeals for the Second Circuit was pending, Giglio’s counsel discovered new evidence. The evidence indicated that the prosecution failed to disclose that it promised a key witness immunity from prosecution in exchange for testimony against Giglio.  The district court denied Giglio’s motion for a new trial, finding that the error did not affect the verdict.  The Court of Appeals affirmed.
",495,7,0,True,majority opinion,reversed/remanded,Due Process,Is the prosecution’s failure to disclose a promise of immunity made to a key witness grounds for a new trial?,"Yes.  Chief Justice Warren E. Burger, writing for a unanimous court, reversed the conviction and remanded the case for a new trial.  The Supreme Court held that evidence of the agreement was relevant to the witness’ credibility.  Because the new evidence affected the witness’ credibility and the prosecution’s case rested almost entirely on this witness’ testimony, the original trial violated due process and entitled Giglio to a new trial.  Justice Lewis F. Powell and Justice William H. Rehnquist did not participate."
3,50632,Reed v. Reed,https://api.oyez.org/cases/1971/70-4,70-4,1971,Sally Reed,Cecil Reed,"The Idaho Probate Code specified that ""males must be preferred to females"" in appointing administrators of estates. After the death of their adopted son, both Sally and Cecil Reed sought to be named the administrator of their son's estate (the Reeds were separated). According to the Probate Code, Cecil was appointed administrator and Sally challenged the law in court.
",378,7,0,True,majority opinion,reversed/remanded,Civil Rights,Did the Idaho Probate Code violate the Equal Protection Clause of the Fourteenth Amendment?,"In a unanimous decision, the Court held that the law's dissimilar treatment of men and women was unconstitutional. The Court argued that ""[t]o give a mandatory preference to members of either sex over members of the other, merely to accomplish the elimination of hearings on the merits, is to make the very kind of arbitrary legislative choice forbidden by the Equal Protection Clause of the Fourteenth Amendment. . .[T]he choice in this context may not lawfully be mandated solely on the basis of sex."""
4,50643,Miller v. California,https://api.oyez.org/cases/1971/70-73,70-73,1971,Marvin Miller,California,"Miller, after conducting a mass mailing campaign to advertise the sale of ""adult"" material, was convicted of violating a California statute prohibiting the distribution of obscene material. Some unwilling recipients of Miller's brochures complained to the police, initiating the legal proceedings.
",305,5,4,True,majority opinion,vacated/remanded,First Amendment,Is the sale and distribution of obscene materials by mail protected under the First Amendment's freedom of speech guarantee?,"In a 5-to-4 decision, the Court held that obscene materials did not enjoy First Amendment protection. The Court modified the test for obscenity established inRoth v. United StatesandMemoirs v. Massachusetts, holding that ""[t]he basic guidelines for the trier of fact must be: (a) whether 'the average person, applying contemporary community standards' would find that the work, taken as a whole, appeals to the prurient interest. . . (b) whether the work depicts or describes, in a patently offensive way, sexual conduct specifically defined by the applicable state law; and (c) whether the work, taken as a whole, lacks serious literary, artistic, political, or scientific value."" The Court rejected the ""utterly without redeeming social value"" test of the Memoirs decision."
5,50644,Kleindienst v. Mandel,https://api.oyez.org/cases/1971/71-16,71-16,1971,"Richard G. Kleindienst, Attorney General of the United States; William P. Rogers, Secretary of State","Ernest E. Mandel, et al.","Ernest E. Mandel was a Belgian professional journalist and editor-in-chief of La Guache, a Belgian Left Socialist weekly publication. He described himself as a revolutionary Marxist, advocating the economic, governmental, and international doctrines of world Communism. Previously, the United States twice allowed Mandel to temporarily visit the United States -- once as a working journalist in 1962 and once as a lecturer in 1968. Both times and without Mandel’s knowledge, the State Department found him ineligible, but the attorney general used his discretionary power under the Immigration and Nationality Act of 1952 to admit Mendel temporarily.
The Graduate Student Association at Stanford University invited Mandel to the United States for six days to participate in a conference. On September 8, 1969, Mandel applied to the American Counsel in Brussels for a nonimmigrant visa to enter the United States. Other persons invited Mandel to additional events, and Mandel filed a second visa application in October detailing a more extensive itinerary. On October 23, the Consul at Brussels informed Mandel that the State Department -- headed by Secretary of State William P. Rogers -- refused his first application. The State Department later recommended to Attorney General Richard G. Kleindienst that Mandel’s ineligibility be waived with respect to his October application. In a letter dated February 13, 1970, however, the Immigration and Naturalization Service stated that Mandel’s 1968 activities far exceeded the scope of that visa and concluded that the Attorney General should not waive Mandel’s ineligibility. Mandel’s address to the conference was delivered by telephone.
Mandel, along with various United States citizens who invited Mandel to speaking engagements, sought declaratory and injunctive relief. A three-judge district court panel held in a 2-1 decision that citizens of the United States have a First Amendment right to have Mandel enter the country and to hear him speak. The court entered a declaratory judgment ruling that the portions of the statute delegating the waiver power to the attorney general were invalid as applied to Mandel; it also enjoined Rogers and Kleindienst from denying Mandel admission to the United States.
",2282,6,3,True,majority opinion,reversed,First Amendment,Did Attorney General Kleindienst violate the First Amendment rights of the scholars and students who invited Mandel to the United States by refusing to allow Mandel to enter the country?Is the statute giving Kleindienst this discretionary power unconstitutional on its face?,"No and no. In a 6-3 decision written by Justice Harry A. Blackmun, the Court held that the First Amendment did not obligate Kleindienst to grant a waiver to Mandel. Justice Blackmun acknowledged that the First Amendment protected the scholars and students’ right to listen to and engage with Mandel in person --and that Mandel’s participation via telephone was not a good replacement-- but held that the implication of First Amendment rights was not dispositive here.Justice Blackmun noted Congress’ longstanding power to exclude aliens from the United States, and to set the terms and conditions of their entry. Through the Immigration and Nationality Act, Congress legitimately delegated to the executive the authority to waive a finding of inadmissibility. He described the historical pattern of increasing federal control on the admissibility of aliens, particularly regarding individuals with Communist affiliation or views. Justice Blackmun held that the Court would not intervene so long as the executive used its waiver power on the basis of a facially legitimate and bona fide reason. This test did not balance the First Amendment interests of persons seeking to communicate with the applicant.Justice William Douglas dissented. He argued that Kleindienst had no clear interest in preventing Mandel from entering the country, given that Mandel posed no threat to national security. He described Kleindienst’s use of his delegated authority as an act of censorship, an unacceptable executive interpretation of congressional intent.Justices Thurgood Marshall and William Brennan also dissented, in an opinion written by Justice Marshall. He pointed to the Court’s longstanding protection of the right to receive information and ideas, arguing that the government had no power to interrupt the process of free discussion. Justice Marshall questioned the precedential validity of the majority’s “facially legitimate and bona fide reason” test, as well as the truthfulness of the Kleindienst’s stated reasons for excluding Mandel."
6,50655,Sarno v. Illinois Crime Investigating Commission,https://api.oyez.org/cases/1971/70-7,70-7,1971,Sarno,Illinois Crime Investigating Commission,"The Illinois Crime Investigating Commission was created to investigate organized crime in Illinois. Albert Sarno and Chris Cardi were police officers. The Commission wanted the officers to testify pursuant to an investigation of a ""juice loan"" or ""loan shark"" racket.
On February 8, 1968, the presiding judge in the Circuit Court of Cook County entered an order requiring the petitioners to appear before the commission under a grant of immunity pursuant to an Illinois statute. On February 24, 1968, the officers appeared, but they refused to answer any questions pleading their right against self-incrimination under the Fifth Amendment.
On March 21, 1968, the Commission filed a motion in the Circuit court, and moved the court to enter an order directing the petitioners to appear before the Commission and answer the questions. The officers filed a motion to dismiss or to strike the foregoing motion. The officers' motion was denied, and the court entered an order directing the petitioners to appear before the Commission and to answer the questions. The officers refused to obey this subsequent order, still pleading the Fifth Amendment. The officers were found in contempt of court and sentenced to serve a period of six months in the County Jail. The decision of the trial court was appealed and subsequently affirmed by the Illinois Supreme Court. The officers appealed to the Supreme Court.
",1424,5,2,False,per curiam,,Criminal Procedure,"If an unwilling witness invokes his privilege against self-incrimination under the Fifth Amendment, can a state make that witness testify by granting that witness immunity?","Yes. In a per curiam opinion, the Court cited its own decision inKastigar v. United States, and held that testimony may be compelled from an unwilling witness over a claim of Fifth Amendment privilege against self-incrimination by the grant of immunity. The Court further determined that any questions regarding the scope of protection under the Illinois immunity statute was best left to the courts of Illinois, meaning that the writ of certiorari was improperly granted. The Supreme Court dismissed the Writ.Justice William O. Douglas dissented for the reasons state in his dissenting opinion inKastigar v. United States. Justice Thurgood Marshall dissented for the reasons stated in his dissenting opinion inKastigar v. United States. Justice William J. Brennan and Justice William H. Rehnquist took no part in the consideration of this case."
7,50656,Argersinger v. Hamlin,https://api.oyez.org/cases/1971/70-5015,70-5015,1971,Argersinger,Hamlin,"Jon Argersinger was an indigent charged with carrying a concealed weapon, a misdemeanor in the State of Florida. The charge carried with it a maximum penalty of six months in jail and a $1,000 fine. During the bench trial in which he was convicted and sentenced to serve ninety days in jail, Argersinger was not represented by an attorney.
",347,9,0,True,majority opinion,reversed,Criminal Procedure,Do the Sixth and Fourteenth Amendments guarantee a right to counsel to defendants who are accused of committing misdemeanors?,"In Gideon v. Wainwright (1963) the Court found that the Sixth and Fourteenth Amendments required states to provide an attorney to indigent defendants in cases involving serious crimes. In this case, a unanimous Court extended that right to cover defendants charged with misdemeanors who faced the possibility of a jail sentence. Justice Douglas's plurality opinion described the intricacies involved in misdemeanor charges and the danger that unrepresented defendants may fall victim to ""assembly-line justice."" Thus, in order to guarantee fairness in trials involving potential jail time, no matter how petty the charge, the Court found that the state was obligated to provide the accused with counsel."
8,50657,Eisenstadt v. Baird,https://api.oyez.org/cases/1971/70-17,70-17,1971,Eisenstadt,Baird,"William Baird gave away Emko Vaginal Foam to a woman following his Boston University lecture on birth control and over-population. Massachusetts charged Baird with a felony, to distribute contraceptives to unmarried men or women. Under the law, only married couples could obtain contraceptives; only registered doctors or pharmacists could provide them. Baird was not an authorized distributor of contraceptives.
",420,6,1,False,majority opinion,affirmed,Privacy,Did the Massachusetts law violate the right to privacy acknowledged in Griswold v. Connecticut and protected from state intrusion by the Fourteenth Amendment?,"The Massachusetts law at issue violated the Equal Protection Clause of the Fourteenth Amendment by making it a crime for anyone other than a licensed physician or pharmacist to provide contraceptives, and by limiting access to such products to married people only. Justice William J. Brennan authored the 6-1 majority opinion of the Court.The Court rejected Massachusetts’ claims that the statute was justified either on health grounds or as a deterrent to premarital sex. It found that the statute did not rationally serve either purpose. First, the law permitted distribution of contraceptives to prevent disease regardless of marital status, which undermined the health rationale. Moreover, the law treated distribution for unmarried individuals as a felony punishable by up to five years, while fornication was only a misdemeanor—a disparity that the Court said could not be reconciled with the state's asserted purpose of deterring premarital sex. Because unmarried individuals were entirely denied access to contraceptives while married individuals could obtain them via prescriptions, the law created an arbitrary and discriminatory classification unrelated to any legitimate goal.The Court concluded that if married people have a constitutional right to access and use contraception under Griswold v. Connecticut, then unmarried people must have the same right. The law’s differential treatment of similarly situated individuals — based solely on marital status — made its enforcement inconsistent with equal protection principles. Treating contraceptives themselves as immoral or punishing their distribution to unmarried people could not support such unequal burdens on fundamental rights.Justice William O. Douglas authored a concurring opinion arguing the conviction violated the First Amendment’s protections for speech and educational advocacy.Justice Byron White, joined by Justice Harry Blackmun, concurred in the result, reasoning that the conviction could not stand because the state had failed to prove that the contraceptive Baird distributed posed any health risk.Chief Justice Warren Burger dissented, arguing that the law legitimately regulated medical distribution of contraceptives, and Baird lacked standing to challenge it on behalf of unmarried persons.Justices Lewis Powell and William Rehnquist took no part in the case."
10,50671,Furman v. Georgia,https://api.oyez.org/cases/1971/69-5030,69-5003,1971,Furman,Georgia,"Furman was burglarizing a private home when a family member discovered him. He attempted to flee, and in doing so tripped and fell. The gun that he was carrying went off and killed a resident of the home. He was convicted of murder and sentenced to death (Two other death penalty cases were decided along with Furman: Jackson v. Georgia and Branch v. Texas. These cases concern the constitutionality of the death sentence for rape and murder convictions, respectively).
",477,5,4,True,per curiam,reversed/remanded,Criminal Procedure,Does the imposition and carrying out of the death penalty in these cases constitute cruel and unusual punishment in violation of the Eighth and Fourteenth Amendments?,"Yes. The Court's one-page per curiam opinion held that the imposition of the death penalty in these cases constituted cruel and unusual punishment and violated the Constitution. In over two hundred pages of concurrence and dissents, the justices articulated their views on this controversial subject. Only Justices Brennan and Marshall believed the death penalty to be unconstitutional in all instances. Other concurrences focused on the arbitrary nature with which death sentences have been imposed, often indicating a racial bias against black defendants. The Court's decision forced states and the national legislature to rethink their statutes for capital offenses to assure that the death penalty would not be administered in a capricious or discriminatory manner."
